Document #,Version ,Date,Title or Type of Document,Author,Reviewers,Hardcopy Location,Softcopy Format/Location,
/cslt/docs/1996/96106/users_manual/help_format/frame5/metaman.bk,,,,,,,,
96106-010,2.1,31-Aug-98,FGDC Metadata Toolkit User’s Manual,BOR,,96106 File,/cslt/docs/1996/96106/users_manual/help_format/metaman.bk,
96106-011,1,20-Jan-98,FGDC Metadata Toolkit Extensions - Proposal,BOR,,96106 File,/cslt/docs/1996/96106/proposal2/doc.bk,
96106-012,1,30-Apr-98,Meta Manager Enhancements - Proposal,BOR,,96106 File,/cslt/docs/1996/96106/proposal3/doc.bk,
96106-013,1,30-Apr-98,Letter to Susan McAninch,WNE,,96106 File,/cslt/docs/1996/96106/letters/mcninch980810.doc,
96106-014,1,19-Oct-98,Meta Manager Status Report,BOR,,96106 File,/cslt/docs/1996/96106/reports/19oct98/doc.bk,
96106-015,2.2,04-Jan-99,Meta Manager For Windows 95/NT - User’s Manual,BOR/DOM,,96106 File,/cslt/docs/1996/96106/users_manual/windows/v2.2/metaman.bk,
96106-015,3,07-Jan-99,Meta Manager For Windows 95/98/NT - User’s Manual,BOR/DOM,,96106 File,/cslt/docs/1996/96106/users_manual/windows/v3.0/metaman.bk,
96106-015,2,31-Mar-99,"Meta Manager For Windows 95/98/NT Version 3.0 - User’s Manual (Document title changed to relfect software version number, and version number now changed to 2.0 to reflect document revision number)",BOR/DOM,,96106 File,/cslt/docs/1996/96106/users_manual/windows/v3.0/metaman.bk,
96106-016,2.2,17-Dec-98,Meta Manager For Solaris - User’s Manual,BOR,,96106 File,/cslt/docs/1996/96106/users_manual/unix/v2.2/metaman.bk,
96106-016,3,12-Jan-99,Meta Manager For Unix - User’s Manual,BOR/DOM,,96106 File,/cslt/docs/1996/96106/users_manual/unix/v3.0/metaman.bk,
,,,,,,,,
,,,,,,,,
96107-001,1,21-Jun-97,SUN MultiDisk Pack Installation,LB,,96107 File,/cslt/docs/1996/96107/reports/96107-001/doc.bk,
96107-002,1,11-Nov-97,CIS Configuration,DY,,96107 File,/cslt/docs/1996/96107/reports/96107-002/doc.bk,
,,,,,,,,
96108-001,1,20-Dec-96,National Air Photo Library (NAPL) Information Management System - Technical Proposal (new format).,PTM/WNE,,96108 File,/cslt/docs/1996/96108/proposal/technical/body.bk,
